Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
05-Feb-18, Transport for London  ,3,  ,  ,  ,37.67, transport, 
05-Feb-18, TortelliniCup London  ,3,  ,  ,  ,40.67, restaurants, 
04-Feb-18, To Lorenz Maresca  ,71,  ,  ,  ,43.67, transfers, 
04-Feb-18, Park Plaza Sherlock Holmes London  ,8.37,  ,  ,  ,114.67, restaurants, 
04-Feb-18, Transport for London  ,4.8,  ,  ,  ,123.04, transport, 
04-Feb-18, Tesco Superstore  ,1.8,  ,  ,  ,127.84, groceries, 
04-Feb-18, Sainsbury's  ,20.9,  ,  ,  ,129.64, groceries, 
04-Feb-18, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,150.54, restaurants, 
04-Feb-18, Park Plaza Sherlock Holmes London  ,3.95,  ,  ,  ,152.04, restaurants, 
04-Feb-18, Park Plaza Sherlock Holmes London  ,3.5,  ,  ,  ,155.99, restaurants, 
03-Feb-18, To Lucien Umlauf  ,20,  ,  ,  ,159.49, transfers, 
03-Feb-18, Park Plaza Sherlock Holmes London  ,1,  ,  ,  ,179.49, restaurants, 
03-Feb-18, Park Plaza Sherlock Holmes London  ,11.07,  ,  ,  ,180.49, restaurants, 
03-Feb-18, Park Plaza Sherlock Holmes London  ,1.9,  ,  ,  ,191.56, restaurants, 
03-Feb-18, The One And Only Deisign  ,49,  ,  ,  ,193.46, shopping, 
03-Feb-18, Marylebone High Street Express  ,6.45,  ,  ,  ,242.46, groceries, 
02-Feb-18, Transport for London  ,2.4,  ,  ,  ,248.91, transport, 
01-Feb-18, To Christopher Maclean  ,1,,,,,,
01-Feb-18, Exchange  to GBP FX Rate £1 = €1.1447 ,  ,436.76,  EUR 500.00 ,  ,1,,
01-Feb-18, Payment from L Maresca  ,  ,318,  ,  ,1,,
31-Jan-18, Payment from Complete Accountin  ,  ,842.71,  ,  ,846.55, general,6.00906E+13
31-Jan-18, Transport for London  ,2.9,  ,  ,  ,3.84, transport, 
31-Jan-18, National Express Limit  ,15,  ,  ,  ,6.74, transport, 
30-Jan-18, To Moshtaq Latifi  ,70,  ,  ,  ,21.74, transfers, 
30-Jan-18, Top-Up by *4414  ,  ,10,  ,  ,91.74, general, 
30-Jan-18, Payment from L Maresca  ,  ,70,  ,  ,81.74, general, MONEY TRANSFER
30-Jan-18, Transport for London  ,1.5,  ,  ,  ,11.74, transport, 
30-Jan-18, Hilco Supermarket Ltd  ,15.73,  ,  ,  ,13.24, groceries, 
30-Jan-18, Basement Sate  ,33.4,  ,  ,  ,28.97, restaurants, 
29-Jan-18, M&S Bond Street Simply Food  ,12.29,  ,  ,  ,62.37, groceries, 
29-Jan-18, London Borough of Islington  ,5.62,  ,  ,  ,74.66, restaurants, 
29-Jan-18, Transport for London  ,3.9,  ,  ,  ,80.28, transport, 
29-Jan-18, Transport for London  ,2.4,  ,  ,  ,84.18, transport, 
28-Jan-18, From Leon Hucht  ,  ,34,  ,  ,86.58, transfers, 
28-Jan-18, Tesco Superstore  ,6.75,  ,  ,  ,52.58, groceries, 
27-Jan-18, Park Plaza Sherlock Holmes London  ,14.22,  ,  ,  ,59.33, restaurants, 
27-Jan-18, Marylebone  ,5.1,  ,  ,  ,73.55, restaurants, 
23-Jan-18, Transport for London  ,3.9,  ,  ,  ,78.65, transport, 
23-Jan-18, Tesco Superstore  ,6.04,  ,  ,  ,82.55, groceries, 
23-Jan-18, Transport for London  ,2.4,  ,  ,  ,88.59, transport, 
22-Jan-18, Waterstones  ,6.46,  ,  ,  ,90.99, restaurants, 
22-Jan-18, Whole Foods Market  ,27.39,  ,  ,  ,97.45, groceries, 
22-Jan-18, Whole Foods Market  ,4.99,  ,  ,  ,124.84, groceries, 
22-Jan-18, Feng Sushi West  ,112,  ,  ,  ,129.83, restaurants, 
21-Jan-18, Iqos  ,8,  ,  ,  ,241.83, shopping, 
21-Jan-18, Princi  ,8.2,  ,  ,  ,249.83, restaurants, 
20-Jan-18, Cash at Hsbc  ,40,  ,  ,  ,258.03, cash, 
20-Jan-18, Cahoots  ,78.75,  ,  ,  ,298.03, restaurants, 
19-Jan-18, L'Antica Pizzeria da Michele  ,19.09,  ,  ,  ,376.78, restaurants, 
19-Jan-18, Mr Lee  ,9,  ,  ,  ,395.87, shopping, 
19-Jan-18, Marylebone  ,2.7,  ,  ,  ,404.87, restaurants, 
19-Jan-18, Transport for London  ,4.8,  ,  ,  ,407.57, transport, 
17-Jan-18, To Rix Training  ,100,  ,  ,  ,412.37, transfers, 
17-Jan-18, To Lorenz Maresca  ,200,  ,  ,  ,512.37, transfers, 
17-Jan-18, Exchange  to GBP FX Rate £1 = €1.1273 ,  ,709.64,  EUR 800.00 ,  ,712.37, general, 
08-Jan-18, Marylebone  ,2.7,  ,  ,  ,2.73, restaurants, 
08-Jan-18, Starbucks Coffee  ,6.4,  ,  ,  ,5.43, restaurants, 
08-Jan-18, aliexpress  ,1.18,  ,  ,  ,11.83, shopping, 
08-Jan-18, Transport for London  ,2.4,  ,  ,  ,13.01, transport, 
08-Jan-18, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,15.41, restaurants, 
08-Jan-18, Etnacoffee  ,1.75,  ,  ,  ,16.91, restaurants, 
08-Jan-18, Etnacoffee  ,17.3,  ,  ,  ,18.66, restaurants, 
08-Jan-18, Marylebone Books  ,2.2,  ,  ,  ,35.96, shopping, 
07-Jan-18, To Paolo Schiavone  ,2,,,,,,
07-Jan-18, To Lorenz Maresca  ,100,  ,  ,  ,2,,
06-Jan-18, To Lorenz Maresca  ,20,  ,  ,  ,2,,
06-Jan-18, Card Delivery Fee  ,12,  ,  ,  ,2,,
06-Jan-18, To Lorenz Maresca  ,50,  ,  ,  ,2,,
06-Jan-18, To Moshtaq Latifi  ,25,  ,  ,  ,2,,
05-Jan-18, Ahi Poke  ,11.45,  ,  ,  ,2,,
04-Jan-18, To Luca Mircoli  ,10,  ,  ,  ,2,,
02-Jan-18, Transport for London  ,2.4,  ,  ,  ,2,,
02-Jan-18, Transport for London  ,5.4,  ,  ,  ,2,,
02-Jan-18, Cash at ATM Raphaels Bank Fee: 0.06 ,20.06,  ,  ,  ,2,,
02-Jan-18, To Lorenz Maresca  ,40,  ,  ,  ,2,,
02-Jan-18, Naturalicious Uk Ltd  ,4.25,  ,  ,  ,2,,
02-Jan-18, The Market Porter  ,9.7,  ,  ,  ,2,,
31-Dec-17, Payment from L Maresca  ,  ,650,  ,  ,2,,
31-Dec-17, To Christopher Maclean  ,1,,,,,,
31-Dec-17, Exchange  to GBP FX Rate £1 = €1.1319 ,  ,1,,,,,
30-Dec-17, To Luca Mircoli  ,10,  ,  ,  ,1,,
29-Dec-17, Sainsbury's  ,32.33,  ,  ,  ,1,,
29-Dec-17, TortelliniCup London  ,9.8,  ,  ,  ,1,,
29-Dec-17, Google aclap Sarl  ,2.99,  ,  ,  ,1,,
28-Dec-17, Transport for London  ,8.1,  ,  ,  ,1,,
28-Dec-17, Cash at Unicredit - Fium.arr FX Rate £1 = €1.1266 ,44.38,  ,  EUR 50.00 ,  ,1,,
28-Dec-17, Supersave  ,1.7,  ,  ,  ,2,,
23-Dec-17, Exchange GBP to  FX Rate £1 = €1.1200 ,100,  ,  GBP 100.00 ,  ,2,,
22-Dec-17, Exchange GBP to  FX Rate £1 = €1.1255 ,20,  ,  GBP 20.00 ,  ,2,,
21-Dec-17, Exchange GBP to  FX Rate £1 = €1.1275 ,200,  ,  GBP 200.00 ,  ,2,,
21-Dec-17, Payment from Complete Tax Sol  ,  ,772.1,  ,  ,2,,
21-Dec-17, To Moshtaq Latifi  ,50,  ,  ,  ,1,,
20-Dec-17, To Lorenz Maresca  ,100,  ,  ,  ,1,,
20-Dec-17, Pret A Manger  ,3.95,  ,  ,  ,1,,
19-Dec-17, UNIQLO Europe Limited  ,34.9,  ,  ,  ,1,,
19-Dec-17, Holland & Barrett  ,25.48,  ,  ,  ,1,,
19-Dec-17, Starbucks Coffee  ,3.75,  ,  ,  ,1,,
19-Dec-17, Tesco Superstore  ,1.56,  ,  ,  ,1,,
19-Dec-17, Island Poke  ,12.35,  ,  ,  ,1,,
19-Dec-17, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,1,,
18-Dec-17, My Place Soho  ,11.5,  ,  ,  ,1,,
18-Dec-17, Whole Foods Market  ,1.49,  ,  ,  ,1,,
18-Dec-17, Whole Foods Market  ,9.35,  ,  ,  ,1,,
18-Dec-17, Transport for London  ,6.3,  ,  ,  ,1,,
18-Dec-17, Mews of Mayfair  ,36,  ,  ,  ,1,,
18-Dec-17, Transport for London  ,3,  ,  ,  ,1,,
18-Dec-17, Brondes Dry Cleaners  ,16,  ,  ,  ,1,,
18-Dec-17, Sainsbury's  ,28.65,  ,  ,  ,1,,
18-Dec-17, TortelliniCup London  ,8.6,  ,  ,  ,1,,
18-Dec-17, Burger & Lobster  ,38,  ,  ,  ,1,,
18-Dec-17, Hush  ,20.79,  ,  ,  ,1,,
18-Dec-17, Transport for London  ,4.8,  ,  ,  ,1,,
18-Dec-17, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,1,,
18-Dec-17, Park Plaza Sherlock Holmes London  ,11.07,  ,  ,  ,1,,
16-Dec-17, To Lorenz Maresca  ,100,  ,  ,  ,1,,
15-Dec-17, To Kseniya Kamen  ,9,  ,  ,  ,2,,
15-Dec-17, Marylebone High Street Express  ,3.9,  ,  ,  ,2,,
15-Dec-17, Marylebone Books  ,4.99,  ,  ,  ,2,,
15-Dec-17, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,2,,
14-Dec-17, Cash at E00555800000000  ,20,  ,  ,  ,2,,
14-Dec-17, Chipotle Mexican Grill  ,8.35,  ,  ,  ,2,,
14-Dec-17, TortelliniCup London  ,6.7,  ,  ,  ,2,,
13-Dec-17, Transport for London  ,4.8,  ,  ,  ,2,,
13-Dec-17, Cash at ATM Raphaels Bank  ,20,  ,  ,  ,2,,
12-Dec-17, Transport for London  ,5.3,  ,  ,  ,2,,
12-Dec-17, Park Plaza Sherlock Holmes London  ,10.3,  ,  ,  ,2,,
12-Dec-17, Tesco Superstore  ,6,  ,  ,  ,2,,
11-Dec-17, Transport for London  ,2.4,  ,  ,  ,2,,
11-Dec-17, Taxi Workneh Haile  ,17.8,  ,  ,  ,2,,
11-Dec-17, Tesco Express  ,11.8,  ,  ,  ,2,,
11-Dec-17, KOKO  ,8,  ,  ,  ,2,,
11-Dec-17, Boneca Tickets  ,38.5,  ,  ,  ,2,,
10-Dec-17, To Luca Mircoli  ,10,  ,  ,  ,2,,
09-Dec-17, Payment from L Maresca  ,  ,50,  ,  ,2,,
09-Dec-17, To Mostag Latifi  ,180,  ,  ,  ,2,,
08-Dec-17, Ahi Poke  ,10.95,  ,  ,  ,2,,
08-Dec-17, Honest Burgers - Liverpool St  ,23.95,  ,  ,  ,2,,
08-Dec-17, Transport for London  ,2.9,  ,  ,  ,2,,
07-Dec-17, Princi  ,11.9,  ,  ,  ,2,,
07-Dec-17, Princi  ,10.4,  ,  ,  ,2,,
07-Dec-17, Transport for London  ,2.4,  ,  ,  ,2,,
07-Dec-17, Payment from Gallicchio G A  ,  ,112.5,  ,  ,2,,
06-Dec-17, Payment from L Maresca  ,  ,1,,,,,
05-Dec-17, Transport for London  ,7.8,  ,  ,  ,1,,
05-Dec-17, Chipotle Mexican Grill  ,9.65,  ,  ,  ,1,,
05-Dec-17, Park Plaza Sherlock Holmes London  ,5,  ,  ,  ,1,,
05-Dec-17, Marylebone Books  ,9.99,  ,  ,  ,1,,
04-Dec-17, Transport for London  ,1.5,  ,  ,  ,1,,
04-Dec-17, Tesco Superstore  ,21.4,  ,  ,  ,1,,
04-Dec-17, Tesco Superstore  ,4.25,  ,  ,  ,1,,
04-Dec-17, Hing Yip Oriental Supermarket Ltd  ,31.59,  ,  ,  ,1,,
04-Dec-17, Naturalicious Uk Ltd  ,4.25,  ,  ,  ,1,,
04-Dec-17, Gitane  ,17,  ,  ,  ,1,,
04-Dec-17, Transport for London  ,2.4,  ,  ,  ,1,,
04-Dec-17, Daks Simpson  ,10,  ,  ,  ,1,,
04-Dec-17, Carluccio's  ,13.75,  ,  ,  ,1,,
04-Dec-17, Espressamente Illy Coffee Shop. London  ,9.8,  ,  ,  ,1,,
04-Dec-17, Transport for London  ,2.4,  ,  ,  ,1,,
04-Dec-17, The Connaught  ,83.25,  ,  ,  ,1,,
04-Dec-17, Claridge's  ,25.6,  ,  ,  ,1,,
04-Dec-17, Park Plaza Sherlock Holmes London  ,1.9,  ,  ,  ,1,,
04-Dec-17, Park Plaza Sherlock Holmes London  ,11.97,  ,  ,  ,1,,
04-Dec-17, Daks Simpson  ,235,  ,  ,  ,1,,
01-Dec-17, Hing Yip Oriental Supermarket Ltd  ,15.24,  ,  ,  ,1,,
01-Dec-17, Sainsbury's  ,5.75,  ,  ,  ,1,,
30-Nov-17, Payment from L Maresca  ,  ,616,  ,  ,1,,
30-Nov-17, Payment from Complete Accountin  ,  ,1,,,,,
30-Nov-17, Cash at Sainsbury's Fee: 0.40 ,20.4,  ,  ,  ,59.47, cash, 
30-Nov-17, Cash at Luton Fee: 0.20 ,10.2,  ,  ,  ,79.87, cash, 
30-Nov-17, Island Poke  ,10.05,  ,  ,  ,90.07, restaurants, 
30-Nov-17, TortelliniCup London  ,6.1,  ,  ,  ,100.12, restaurants, 
30-Nov-17, Va Swiss Cottage  ,9,  ,  ,  ,106.22, entertainment, 
29-Nov-17, Transport for London  ,3.9,  ,  ,  ,115.22, transport, 
29-Nov-17, Tsgn  ,14.6,  ,  ,  ,119.12, transport, 
29-Nov-17, Addison Lee  ,11.65,  ,  ,  ,133.72, transport, 
28-Nov-17, Transport for London  ,2.4,  ,  ,  ,145.37, transport, 
28-Nov-17, Cash at Royal Bank of Scotland Fee: 0.40 ,20.4,  ,  ,  ,147.77, cash, 
27-Nov-17, Adventure Bar  ,23.6,  ,  ,  ,168.17, restaurants, 
27-Nov-17, Transport for London  ,2.4,  ,  ,  ,191.77, transport, 
27-Nov-17, itsu  ,9.23,  ,  ,  ,194.17, restaurants, 
27-Nov-17, Sainsbury's Local  ,3.7,  ,  ,  ,203.4, groceries, 
27-Nov-17, Park Plaza Sherlock Holmes London  ,11.97,  ,  ,  ,207.1, restaurants, 
27-Nov-17, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,219.07, restaurants, 
24-Nov-17, To Bruno Arturo Fragnito  ,10,  ,  ,  ,220.57, transfers, 
24-Nov-17, Payment from R Petkov  ,  ,13,  ,  ,230.57, general, UNI
24-Nov-17, Payment from Mutombo C  ,  ,8,  ,  ,217.57, general, KFFF
24-Nov-17, Island Poke  ,12.35,  ,  ,  ,209.57, restaurants, 
24-Nov-17, Transport for London  ,4.4,  ,  ,  ,221.92, transport, 
24-Nov-17, Tsgn  ,13.5,  ,  ,  ,226.32, transport, 
23-Nov-17, Island Poke  ,8.85,  ,  ,  ,239.82, restaurants, 
23-Nov-17, Sainsbury's  ,31.05,  ,  ,  ,248.67, groceries, 
22-Nov-17, Transport for London  ,1.5,  ,  ,  ,279.72, transport, 
22-Nov-17, Cash at ATM Raphaels Bank Fee: 0.60 ,30.6,  ,  ,  ,281.22, cash, 
22-Nov-17, Tesco Superstore  ,4.29,  ,  ,  ,311.82, groceries, 
22-Nov-17, Tesco Superstore  ,18.6,  ,  ,  ,316.11, groceries, 
21-Nov-17, Exchange  to GBP FX Rate £1 = €1.1292 ,  ,318.8,  EUR 360.00 ,  ,334.71, general, 
20-Nov-17, Cash at 22201973  ,150.11,  ,  ,  ,15.91, cash, 
20-Nov-17, Transport for London  ,1.5,  ,  ,  ,166.02, transport, 
20-Nov-17, Iz *brewandwild  ,6.75,  ,  ,  ,167.52, restaurants, 
20-Nov-17, Tsgn  ,14.6,  ,  ,  ,174.27, transport, 
20-Nov-17, Wasabi Sushi & Bento  ,19.77,  ,  ,  ,188.87, restaurants, 
17-Nov-17, Green Man  ,1.7,  ,  ,  ,208.64, restaurants, 
17-Nov-17, Hing Yip Oriental Supermarket Ltd  ,15.07,  ,  ,  ,210.34, groceries, 
17-Nov-17, Tesco Superstore  ,3.65,  ,  ,  ,225.41, groceries, 
17-Nov-17, Gitane  ,11.8,  ,  ,  ,229.06, restaurants, 
16-Nov-17, Payment from L Maresca  ,  ,200,  ,  ,240.86, general, MONEY TRANSFER
16-Nov-17, Transport for London  ,2.4,  ,  ,  ,40.86, transport, 
16-Nov-17, Island Poke  ,9.35,  ,  ,  ,43.26, restaurants, 
16-Nov-17, Island Poke  ,12.35,  ,  ,  ,52.61, restaurants, 
14-Nov-17, Sportsdirect  ,12.99,  ,  ,  ,64.96, shopping, 
14-Nov-17, Transport for London  ,7.8,  ,  ,  ,77.95, transport, 
14-Nov-17, TortelliniCup London  ,6.7,  ,  ,  ,85.75, restaurants, 
14-Nov-17, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,92.45, cash, 
14-Nov-17, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,112.45, cash, 
13-Nov-17, The Ginger Pig  ,13,  ,  ,  ,122.45, groceries, 
13-Nov-17, Regents Sports And Rec  ,7,  ,  ,  ,135.45, services, 
13-Nov-17, Arch Climbing: Building One  ,3.5,  ,  ,  ,142.45, entertainment, 
13-Nov-17, Arch Climbing: Building One  ,13.5,  ,  ,  ,145.95, entertainment, 
13-Nov-17, Transport for London  ,2.4,  ,  ,  ,159.45, transport, 
13-Nov-17, Brondes Dry Cleaners  ,18,  ,  ,  ,161.85, services, 
13-Nov-17, Etnacoffee  ,20.15,  ,  ,  ,179.85, restaurants, 
13-Nov-17, Sainsbury's  ,16.1,  ,  ,  ,200, groceries, 
10-Nov-17, Transport for London  ,7.8,  ,  ,  ,216.1, transport, 
10-Nov-17, Sainsbury's Local  ,1.85,  ,  ,  ,223.9, groceries, 
10-Nov-17, Bakerstposterprinting  ,40.32,  ,  ,  ,225.75, services, 
09-Nov-17, Payment from L Maresca  ,  ,15,  ,  ,266.07, general, MONEY TRANSFER
09-Nov-17, To Leopoldo Carbone  ,20,  ,  ,  ,251.07, transfers, 
09-Nov-17, To Bruno Fragnito  ,5,  ,  ,  ,271.07, transfers, 
09-Nov-17, Exchange  to GBP FX Rate £1 = €1.1277 ,  ,177.35,  EUR 200.00 ,  ,276.07, general, 
09-Nov-17, M&S Cambridge Rail Simply Food  ,3.7,  ,  ,  ,98.72, groceries, 
08-Nov-17, Payment from L Maresca  ,  ,98,  ,  ,102.42, general, MONEY TRANSFER
07-Nov-17, Transport for London  ,2.4,  ,  ,  ,4.42, transport, 
06-Nov-17, Experimental Cocktail Club Chinatown  ,28.41,  ,  ,  ,6.82, restaurants, 
06-Nov-17, TortelliniCup London  ,6.7,  ,  ,  ,35.23, restaurants, 
06-Nov-17, Marylebone  ,1.2,  ,  ,  ,41.93, restaurants, 
03-Nov-17, Tesco Superstore  ,3.99,  ,  ,  ,43.13, groceries, 
03-Nov-17, Transport for London  ,2.9,  ,  ,  ,47.12, transport, 
03-Nov-17, ERGON London  ,3.6,  ,  ,  ,50.02, groceries, 
02-Nov-17, Ted S Grooming Room  ,14,  ,  ,  ,53.62, health, 
01-Nov-17, TortelliniCup London  ,6.7,  ,  ,  ,67.62, restaurants, 
01-Nov-17, Espressamente Illy Coffee Shop. London  ,5.4,  ,  ,  ,74.32, restaurants, 
01-Nov-17, Cash at Royal Bank of Scotland  ,20,  ,  ,  ,79.72, cash, 
31-Oct-17, To Christopher Maclean  ,1,,,,,,
31-Oct-17, Payment from Complete Tax Sol  ,  ,449.87,  ,  ,1,,
31-Oct-17, Tesco Superstore  ,32.55,  ,  ,  ,1,,
30-Oct-17, Shake Shack Leicester Square  ,4.95,  ,  ,  ,1,,
30-Oct-17, The Creperie  ,32.46,  ,  ,  ,1,,
30-Oct-17, Holland & Barrett  ,17.48,  ,  ,  ,1,,
30-Oct-17, Berezka  ,14.06,  ,  ,  ,1,,
30-Oct-17, Payment from L Maresca  ,  ,670,  ,  ,1,,
30-Oct-17, Island Poke  ,11.35,  ,  ,  ,463.35, restaurants, 
30-Oct-17, Waitrose  ,20.99,  ,  ,  ,474.7, groceries, 
30-Oct-17, Transport for London  ,1.5,  ,  ,  ,495.69, transport, 
30-Oct-17, The Blues Kitchen  ,9.5,  ,  ,  ,497.19, restaurants, 
30-Oct-17, The Blues Kitchen  ,9.5,  ,  ,  ,506.69, restaurants, 
30-Oct-17, The Blues Kitchen  ,19,  ,  ,  ,516.19, restaurants, 
30-Oct-17, The Blues Kitchen  ,14,  ,  ,  ,535.19, restaurants, 
30-Oct-17, Cash at Sainsbury's  ,20,  ,  ,  ,549.19, cash, 
30-Oct-17, Etnacoffee  ,4.25,  ,  ,  ,569.19, restaurants, 
30-Oct-17, Etnacoffee  ,9.4,  ,  ,  ,573.44, restaurants, 
28-Oct-17, Exchange  to GBP FX Rate £1 = €1.1366 ,  ,175.95,  EUR 200.00 ,  ,582.84, general, 
27-Oct-17, To Bruno Fragnito  ,10,  ,  ,  ,406.89, transfers, 
27-Oct-17, Holmes Place N  ,1,  ,  ,  ,416.89, entertainment, 
27-Oct-17, Holmes Place N  ,3.25,  ,  ,  ,417.89, entertainment, 
26-Oct-17, Tfl.gov.uk  ,7.8,  ,  ,  ,421.14, transport, 
26-Oct-17, Easyjetetv9lnf  ,175.44,  ,  ,  ,428.94, travel, 
26-Oct-17, Sainsbury's  ,12.4,  ,  ,  ,604.38, groceries, 
25-Oct-17, To Harish Bali  ,10,  ,  ,  ,616.78, transfers, 
25-Oct-17, Sainsbury's Local  ,4.25,  ,  ,  ,626.78, groceries, 
24-Oct-17, Exchange  to GBP FX Rate £1 = €1.1206 ,  ,629.01,  EUR 704.88 ,  ,631.03, general, 
23-Oct-17, Typeform Sl  ,28,  ,  ,  ,2.02, shopping, 
23-Oct-17, Espressamente Illy Coffee Shop. London  ,3.2,  ,  ,  ,30.02, restaurants, 
23-Oct-17, Transport for London  ,1.5,  ,  ,  ,33.22, transport, 
23-Oct-17, Park Plaza Sherlock Holmes London  ,8.37,  ,  ,  ,34.72, restaurants, 
20-Oct-17, Payment from Mutombo C  ,  ,6,  ,  ,43.09, general, KFFF
20-Oct-17, Transport for London  ,2.4,  ,  ,  ,37.09, transport, 
19-Oct-17, Cash at Sainsbury's  ,10,  ,  ,  ,39.49, cash, 
19-Oct-17, London College of Fashion  ,8.45,  ,  ,  ,49.49, shopping, 
19-Oct-17, Yalla Yalla  ,7.13,  ,  ,  ,57.94, restaurants, 
18-Oct-17, To Bruno Fragnito  ,53,  ,  ,  ,65.07, transfers, Buffo
18-Oct-17, Marks & Spencer Croydon  ,5,  ,  ,  ,118.07, groceries, 
18-Oct-17, Five Guys  ,15.95,  ,  ,  ,123.07, restaurants, 
18-Oct-17, itsu  ,9.98,  ,  ,  ,139.02, restaurants, 
18-Oct-17, Www.iqos.co.uk  ,59,  ,  ,  ,149, shopping, 
18-Oct-17, Marylebone High Street Express  ,1,  ,  ,  ,208, groceries, 
18-Oct-17, Sainsbury's  ,22.2,  ,  ,  ,209, groceries, 
18-Oct-17, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,231.2, restaurants, 
17-Oct-17, To iwoca  ,230.98,  ,  ,  ,232.7, transfers, BikeToWork - Lorenz
17-Oct-17, Transport for London  ,2,  ,  ,  ,463.68, transport, 
17-Oct-17, Transport for London  ,3.9,  ,  ,  ,465.68, transport, 
17-Oct-17, UoW  ,1.5,  ,  ,  ,469.58, restaurants, 
17-Oct-17, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,471.08, restaurants, 
16-Oct-17, Transport for London  ,3.9,  ,  ,  ,472.58, transport, 
16-Oct-17, Odeon Cinema London Tottenham Court  ,30.75,  ,  ,  ,476.48, entertainment, 
16-Oct-17, Honest Burgers - Soho  ,18.5,  ,  ,  ,507.23, restaurants, 
16-Oct-17, The Hoxton. Holborn  ,26.69,  ,  ,  ,525.73, restaurants, 
16-Oct-17, Espressamente Illy Coffee Shop. London  ,3.8,  ,  ,  ,552.42, restaurants, 
16-Oct-17, Park Plaza Sherlock Holmes London  ,3,  ,  ,  ,556.22, restaurants, 
16-Oct-17, Park Plaza Sherlock Holmes London  ,9.27,  ,  ,  ,559.22, restaurants, 
16-Oct-17, Marylebone Books  ,5.19,  ,  ,  ,568.49, shopping, 
13-Oct-17, To Luca Mircoli  ,10,  ,  ,  ,573.68, transfers, 
13-Oct-17, To Lorenz Maresca  ,60,  ,  ,  ,583.68, transfers, 
13-Oct-17, Exchange  to GBP FX Rate £1 = €1.1244 ,  ,622.51,  EUR 700.00 ,  ,643.68, general, 
05-Oct-17, Brondes Dry Cleaners  ,10,  ,  ,  ,21.17, services, 
05-Oct-17, London Stansted Airport  ,9.98,  ,  ,  ,31.17, restaurants, 
04-Oct-17, Chef Academy London  ,4.85,  ,  ,  ,41.15, restaurants, 
04-Oct-17, Hing Yip Oriental Supermarket Ltd  ,12.79,  ,  ,  ,46, groceries, 
03-Oct-17, Cash at E00555800000000  ,10,  ,  ,  ,58.79, cash, 
03-Oct-17, Missguided  ,38.99,  ,  ,  ,68.79, shopping, 
02-Oct-17, Transport for London  ,1.5,  ,  ,  ,107.78, transport, 
02-Oct-17, Hing Yip Oriental Supermarket Ltd  ,4.78,  ,  ,  ,109.28, groceries, 
02-Oct-17, Hing Yip Oriental Supermarket Ltd  ,8.2,  ,  ,  ,114.06, groceries, 
02-Oct-17, Opium  ,30,  ,  ,  ,122.26, restaurants, 
02-Oct-17, Taro Restaurant  ,25.63,  ,  ,  ,152.26, restaurants, 
02-Oct-17, Tfl.gov.uk  ,7.8,  ,  ,  ,177.89, transport, 
02-Oct-17, Transport for London  ,1.5,  ,  ,  ,185.69, transport, 
02-Oct-17, Sainsbury's  ,12.2,  ,  ,  ,187.19, groceries, 
02-Oct-17, To Lorenz Maresca  ,50,  ,  ,  ,199.39, transfers, 
02-Oct-17, To Lorenz Maresca  ,80,  ,  ,  ,249.39, transfers, 
01-Oct-17, To Christopher Maclean  ,32,  ,  ,  ,329.39, transfers, 
01-Oct-17, To Lorenz Maresca  ,700,  ,  ,  ,361.39, transfers, 
30-Sep-17, To Lorenz Maresca  ,70,  ,  ,  ,1,,
30-Sep-17, Payment from Complete Tax Sol  ,  ,1,,,,,
22-Sep-17, JOE & THE JUICE  ,7.3,  ,  ,  ,22.89, restaurants, 
20-Sep-17, Payment from Iwoca Ltd  ,  ,12,  ,  ,30.19, general, WORK EXPENSE
19-Sep-17, Transport for London  ,2.9,  ,  ,  ,18.19, transport, 
19-Sep-17, Transport for London  ,2.4,  ,  ,  ,21.09, transport, 
18-Sep-17, Transport for London  ,2.4,  ,  ,  ,23.49, transport, 
18-Sep-17, Pret A Manger  ,4.19,  ,  ,  ,25.89, restaurants, 
18-Sep-17, Transport for London  ,2.4,  ,  ,  ,30.08, transport, 
17-Sep-17, To Paolo Schiavone  ,10,  ,  ,  ,32.48, transfers, 
17-Sep-17, Top-up via Apple Pay  ,  ,10,  ,  ,42.48, general, 
13-Sep-17, itsu  ,11.87,  ,  ,  ,32.48, restaurants, 
13-Sep-17, Acai berry  ,6.5,  ,  ,  ,44.35, restaurants, 
12-Sep-17, Transport for London  ,2.9,  ,  ,  ,50.85, transport, 
12-Sep-17, Tesco Superstore  ,10.06,  ,  ,  ,53.75, groceries, 
12-Sep-17, Tesco Superstore  ,0.1,  ,  ,  ,63.81, groceries, 
12-Sep-17, Gitane  ,9.2,  ,  ,  ,63.91, restaurants, 
11-Sep-17, Transport for London  ,5.4,  ,  ,  ,73.11, transport, 
11-Sep-17, Transport for London  ,4.8,  ,  ,  ,78.51, transport, 
